Trajet;Distance en km;CO2 emis en kg
Avignon - Paris;573;2,01
Bordeaux - Paris;565;1,98
Lille - Paris;230;0,81
Lyon - Paris;466;1,63
Marseille - Paris;753;2,64
Montpellier - Paris;740;2,59
Nantes - Paris;406;1,42
Nice - Paris;975;3,41
Paris - Toulouse;820;2,87
Avignon - Bordeaux;573;2,01
Avignon - Lille;878;3,07
Avignon - Lyon;233;0,82
Avignon - Marseille;123;0,43
Avignon - Montpellier;100;0,35
Avignon - Nantes;1064;3,72
Avignon - Nice;364;1,27
Avignon - Toulouse;348;1,22
Bordeaux - Lille;851;2,98
Bordeaux - Lyon;1005;3,52
Bordeaux - Marseille;686;2,40
Bordeaux - Montpellier;508;1,78
Bordeaux - Nantes;373;1,31
Bordeaux - Nice;1545;5,41
Bordeaux - Toulouse;215;0,75
Lille - Lyon;653;2,29
Lille - Marseille;968;3,39
Lille - Montpellier;995;3,48
Lille - Nantes;637;2,23
Lille - Nice;1201;4,20
Lille - Toulouse;1050;3,68
Lyon - Marseille;968;3,39
Lyon - Montpellier;995;3,48
Lyon - Nantes;850;2,98
Lyon - Nice;621;2,17
Lyon - Toulouse;570;2,00
Marseille - Montpellier;179;0,63
Marseille - Nantes;1153;4,04
Marseille - Nice;200;0,70
Marseille - Toulouse;446;1,56
Montpellier - Nantes;1113;3,90
Montpellier - Nice;440;1,54
Montpellier - Toulouse;201;0,70
Nantes - Nice;1344;4,70
Nantes - Toulouse;835;2,92
Nice - Toulouse;649;2,27
