titre,description,date,lieu,prix,reduction,start_date,end_date,result_city,latitude,longitude
Spanish Guitare Violon : Duo Magic,"Concert guitare et violon en duo revisitent la magie de la musique espagnole entre classique, latino et flamenco.",Du samedi 27 janvier 2024 au vendredi 1 novembre 2024,"47 Rue St Georges, 69005 Lyon","16,50€",jusqu'à -31%,2024-01-27,2024-11-01,Lyon,45.756907,4.824566
"Les Quatre Saisons De Vivaldi, Ave Maria Et Adagios Célèbres","Par l'orchestre les violons de france et cécile besnard, soprano.",Du samedi 27 janvier 2024 au samedi 18 mai 2024,"Place de la Madeleine, 75008 Paris","25,00€",jusqu'à -23%,2024-01-27,2024-05-18,Paris,48.870062,2.324455
Gospel Dream,"Créée en 1990 par son chef de choeur michel m'passy, la formation est aujourd'hui la plus active d'un chant liturgique en plein essor depuis la fin des années 90.",Du vendredi 3 mai 2024 au vendredi 13 décembre 2024,"Place de la Madeleine, 75008 Paris","27,00€",jusqu'à -16%,2024-05-03,2024-12-13,Paris,48.870062,2.324455
"Les 4 Saisons De Vivaldi, Ave Maria Et Célèbres Concertos",Par l'orchestre hélios,Du vendredi 26 janvier 2024 au vendredi 15 novembre 2024,"Place de la Madeleine, 75008 Paris","22,00€",jusqu'à -32%,2024-01-26,2024-11-15,Paris,48.870062,2.324455
"Vivaldi, Les Quatre Saisons","Les quatre saisons, adagios et ave maria.",Du mercredi 7 février 2024 au jeudi 30 mai 2024,"Place de la Madeleine, 75008 Paris","25,00€",jusqu'à -23%,2024-02-07,2024-05-30,Paris,48.870062,2.324455
"Les 4 Saisons De Vivaldi, Ave Maria, Concerto De Mendelssohn",Retrouvez la magie de la musique classique à travers ce concert réunissant les oeuvres les plus célèbres du répertoire.,Du samedi 17 février 2024 au samedi 6 avril 2024,"Place de la Madeleine, 75008 Paris","22,00€",jusqu'à -18%,2024-02-17,2024-04-06,Paris,48.870062,2.324455
Boléro De Ravel / Requiem De Mozart,L'orchestre hélios aborde le répertoire le plus large avec une curiosité passionnée.,Du samedi 24 février 2024 au samedi 28 septembre 2024,"Place de la Madeleine, 75008 Paris","22,00€",,2024-02-24,2024-09-28,Paris,48.870062,2.324455
Gospel Hélios & Dominique Magloire,"Ne manquez pas cette incroyable performance du choeur gospel hélios dirigé par dominique magloire, dans la prestigieuses église de la madeleine.",Du vendredi 1 mars 2024 au samedi 12 octobre 2024,"Place de la Madeleine, 75008 Paris","22,00€",jusqu'à -18%,2024-03-01,2024-10-12,Paris,48.870062,2.324455
"Les 4 Saisons De Vivaldi, Ave Maria Et Célèbres Adagios",Ne manquez pas un concert de musique classique dans une prestigieuse église parisienne avec :  orchestre hélios  violon solo : glen rouxel,Du vendredi 19 avril 2024 au vendredi 25 octobre 2024,"Place de la Madeleine, 75008 Paris","22,00€",jusqu'à -32%,2024-04-19,2024-10-25,Paris,48.870062,2.324455
Les 4 Saisons De Vivaldi & Petite Musique De Nuit De Mozart,Les 4 saisons de vivaldi intégrale petite musique de nuit de mozart quatuor à cordes hélios soliste : glen rouxel,Du vendredi 26 avril 2024 au samedi 7 décembre 2024,"Place de la Madeleine, 75008 Paris","22,00€",,2024-04-26,2024-12-07,Paris,48.870062,2.324455
