lieu,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
"2 rue d'Azans, 39100 Dole",47.086991,5.498232,2 Rue d’Azans 39100 Dole,0.9561690909090907,0.7086318181818182,housenumber,39198_0140_00002,2,2 Rue d’Azans,Rue d’Azans,39100,Dole,"39, Jura, Bourgogne-Franche-Comté",39198,,,,ok
"47 Rue St Georges, 69005 Lyon",45.756907,4.824566,47 Rue Saint Georges 69005 Lyon,0.8267497067448679,0.49333611570247937,housenumber,69385_6365_00047,47,47 Rue Saint Georges,Rue Saint Georges,69005,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69385,,,Lyon 5e Arrondissement,ok
"Place de la Madeleine, 75008 Paris",48.870062,2.324455,Place de la Madeleine 75008 Paris,0.9685063636363637,0.7248128229665071,street,75108_5891,,Place de la Madeleine,Place de la Madeleine,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
"23 avenue George V, 75008 Paris",48.867508,2.300939,23 Avenue George V 75008 Paris,0.9702727272727271,,housenumber,75108_4110_00023,23,23 Avenue George V,Avenue George V,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
"2 rue Marc Sangnier, 91330 Yerres",48.714762,2.489653,2 Rue Marc Sangnier 91330 Yerres,0.9646563636363634,,housenumber,91691_2450_00002,2,2 Rue Marc Sangnier,Rue Marc Sangnier,91330,Yerres,"91, Essonne, Île-de-France",91691,,,,ok
"17 rue des Carmes, 75005 Paris",48.848424,2.347335,17 Rue des Carmes 75005 Paris,0.9692099999999999,0.7221073796791443,housenumber,75105_1554_00017,17,17 Rue des Carmes,Rue des Carmes,75005,Paris,"75, Paris, Île-de-France",75105,,,Paris 5e Arrondissement,ok
"Quai de l’Hôtel de Ville, 75004 Paris",48.85483,2.35385,Quai de l'Hôtel de Ville 75004 Paris,0.9659590909090907,,street,75104_4667,,Quai de l'Hôtel de Ville,Quai de l'Hôtel de Ville,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"222 rue de courcelles, 75017 Paris",48.888372,2.294222,222 Rue de Courcelles 75017 Paris,0.980540909090909,0.6221900886917959,housenumber,75117_2387_00222,222,222 Rue de Courcelles,Rue de Courcelles,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
"39 Quai d'Anjou, 75004 Paris",48.852299,2.357319,39 Quai d'Anjou 75004 Paris,0.9652581818181818,0.5768114285714285,housenumber,75104_0350_00039,39,39 Quai d'Anjou,Quai d'Anjou,75004,Paris,"75, Paris, Île-de-France",75104,,,Paris 4e Arrondissement,ok
"210 rue de Belleville, 75020 Paris",48.875163,2.395132,210 Rue de Belleville 75020 Paris,0.98238,0.6238755432372505,housenumber,75120_0833_00210,210,210 Rue de Belleville,Rue de Belleville,75020,Paris,"75, Paris, Île-de-France",75120,,,Paris 20e Arrondissement,ok
